상호,건물,카테고리,주소,전화번호,호수(전화로확인),혼밥가능(green=1인석있음/yellow=혼자눈치/red=1인거절),도보(분),최저가(원),최고가(원),12시웨이팅(0없음/5=5~10분/15=15분↑),12시반웨이팅(0/5/15),주문방식(kiosk/table_tablet/staff_call),셀프바(true/false),소음(1조용~2보통~3시끌),직원말수(1무관심~2보통~3많음),대표메뉴,메모
식물원김밥,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
아토키토,현대지식산업센터,경양식,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
우몽,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
유혜인김밥,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
트리플본국밥,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
포케올데이,현대지식산업센터,토스트/샌드위치/샐러드,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
풍경,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
픽업그린,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
한국커리어패스협의회,현대지식산업센터,기타 동남아식 전문,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
해룡마을국수송파,현대지식산업센터,국수/칼국수,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
갓텐갓텐익스프레스문정점,SKV1/GL메트로시티,일식 회/초밥,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
그린포유,SKV1/GL메트로시티,피자,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
남양식당,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
더돈부리,SKV1/GL메트로시티,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
라슈펠,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
미드나잇카페엔드갤러리,SKV1/GL메트로시티,경양식,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
산들해,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
아들내미분식송파,SKV1/GL메트로시티,김밥/만두/분식,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
알리바바카페테리아,SKV1/GL메트로시티,구내식당,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
알리바바홈푸드,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
에이포자산관리,SKV1/GL메트로시티,중국집,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
타이완벤땅,SKV1/GL메트로시티,기타 동남아식 전문,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
포텐,SKV1/GL메트로시티,베트남식 전문,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
풀하우스,SKV1/GL메트로시티,피자,서울특별시 송파구 법원로 128,,,,,,,,,,,,,,
